	precision	recall	threshold
0	0.026963961628208452	1.0	0.01707451045513153
1	0.026970954356846474	1.0	0.017134860157966614
2	0.026977950713359275	1.0	0.017408953979611397
3	0.026984950700570835	1.0	0.017664549872279167
4	0.026991954321308072	1.0	0.01768692210316658
5	0.02699896157840083	1.0	0.017822926864027977
6	0.0270059724746819	1.0	0.017826909199357033
7	0.027012987012987013	1.0	0.017953678965568542
8	0.027020005196154846	1.0	0.018141211941838264
9	0.02702702702702703	1.0	0.01816978119313717
10	0.02703405250844814	1.0	0.0182274729013443
11	0.02704108164326573	1.0	0.018261872231960297
12	0.0270481144343303	1.0	0.018269028514623642
13	0.027055150884495317	1.0	0.01828773319721222
14	0.027062190996617226	1.0	0.018310727551579475
15	0.02706923477355544	1.0	0.01842387765645981
16	0.027076282218172352	1.0	0.018450887873768806
17	0.027083333333333334	1.0	0.01852426677942276
18	0.027090388121906745	1.0	0.01852472685277462
19	0.02709744658676394	1.0	0.01853194087743759
20	0.027104508730779256	1.0	0.01862565241754055
21	0.027111574556830033	1.0	0.018668916076421738
22	0.02711864406779661	1.0	0.01866980269551277
23	0.027125717266562335	1.0	0.01872548647224903
24	0.027132794156013565	1.0	0.018783872947096825
25	0.027139874739039668	1.0	0.018784726038575172
26	0.02714695901853302	1.0	0.018924614414572716
27	0.027154046997389034	1.0	0.019044658169150352
28	0.027161138678506138	1.0	0.019088290631771088
29	0.027168234064785787	1.0	0.019205305725336075
30	0.02717533315913248	1.0	0.01921209692955017
31	0.027182435964453737	1.0	0.019247572869062424
32	0.02718954248366013	1.0	0.019311955198645592
33	0.027196652719665274	1.0	0.019340595230460167
34	0.02720376667538582	1.0	0.019385607913136482
35	0.027218005757655064	1.0	0.019431082531809807
36	0.027225130890052355	1.0	0.019437238574028015
37	0.027232259753862266	1.0	0.0194468442350626
38	0.027239392352016764	1.0	0.0195420254021883
39	0.0272608125819135	1.0	0.01955234818160534
40	0.027267960146827478	1.0	0.019592581316828728
41	0.027275111460792027	1.0	0.019612397998571396
42	0.02728226652675761	1.0	0.019650787115097046
43	0.027289425347677775	1.0	0.019694002345204353
44	0.027296587926509186	1.0	0.019771337509155273
45	0.027303754266211604	1.0	0.019883738830685616
46	0.0273109243697479	1.0	0.019937442615628242
47	0.027318098240084056	1.0	0.019946333020925522
48	0.027325275880189175	1.0	0.019988220185041428
49	0.02733245729303548	1.0	0.020026884973049164
50	0.027339642481598318	1.0	0.02004355564713478
51	0.027346831448856166	1.0	0.02007833682000637
52	0.027354024197790636	1.0	0.020081834867596626
53	0.027361220731386478	1.0	0.020114243030548096
54	0.02736842105263158	1.0	0.020211657509207726
55	0.027375625164516977	1.0	0.020232345908880234
56	0.02738283307003686	1.0	0.02026204764842987
57	0.02739004477218857	1.0	0.020265674218535423
58	0.0273972602739726	1.0	0.020281264558434486
59	0.02740447957839262	1.0	0.02029685117304325
60	0.027411702688455455	1.0	0.02033468894660473
61	0.027418929607171103	1.0	0.020342474803328514
62	0.027426160337552744	1.0	0.020352380350232124
63	0.027433394882616723	1.0	0.020397961139678955
64	0.027440633245382585	1.0	0.020454179495573044
65	0.027447875428873055	1.0	0.020458519458770752
66	0.027455121436114043	1.0	0.02046075463294983
67	0.02746237127013467	1.0	0.020494287833571434
68	0.02746962493396725	1.0	0.020518463104963303
69	0.027476882430647293	1.0	0.020534222945570946
70	0.02748414376321353	1.0	0.020536519587039948
71	0.027491408934707903	1.0	0.020567283034324646
72	0.02749867794817557	1.0	0.02056814730167389
73	0.027505950806664903	1.0	0.020574813708662987
74	0.027513227513227514	1.0	0.020580705255270004
75	0.027520508070918232	1.0	0.020609382539987564
76	0.02752779248279513	1.0	0.020636118948459625
77	0.027535080751919513	1.0	0.020646080374717712
78	0.02754237288135593	1.0	0.0206742025911808
79	0.027549668874172185	1.0	0.020677857100963593
80	0.02755696873343932	1.0	0.020686637610197067
81	0.027564272462231646	1.0	0.02071944810450077
82	0.027571580063626724	1.0	0.02074390836060047
83	0.027578891540705384	1.0	0.02074398100376129
84	0.027586206896551724	1.0	0.020770756527781487
85	0.02759352613425312	1.0	0.020782852545380592
86	0.027600849256900213	1.0	0.020817097276449203
87	0.02760817626758694	1.0	0.02082468569278717
88	0.027615507169410514	1.0	0.02082585170865059
89	0.027622841965471448	1.0	0.020826002582907677
90	0.02763018065887354	1.0	0.020843002945184708
91	0.02763752325272389	1.0	0.02085198648273945
92	0.02764486975013291	1.0	0.020865555852651596
93	0.027652220154214306	1.0	0.020901788026094437
94	0.027659574468085105	1.0	0.021002154797315598
95	0.027666932694865656	1.0	0.021005945280194283
96	0.027674294837679615	1.0	0.021095644682645798
97	0.02768166089965398	1.0	0.021113617345690727
98	0.027689030883919063	1.0	0.02116869017481804
99	0.027696404793608524	1.0	0.021207541227340698
100	0.02770378263185935	1.0	0.02122250199317932
101	0.027711164401811882	1.0	0.02125304937362671
102	0.02771855010660981	1.0	0.021268703043460846
103	0.02772593974940016	1.0	0.021300634369254112
104	0.027740730861563083	1.0	0.021329032257199287
105	0.02774813233724653	1.0	0.021381575614213943
106	0.02775553776354417	1.0	0.021416984498500824
107	0.027762947143619862	1.0	0.021475190296769142
108	0.027770360480640854	1.0	0.021478010341525078
109	0.027777777777777776	1.0	0.021492471918463707
110	0.027785199038204648	1.0	0.021511759608983994
111	0.02779262426509888	1.0	0.021514413878321648
112	0.027800053461641272	1.0	0.021546686068177223
113	0.027807486631016044	1.0	0.021548645570874214
114	0.027814923776410806	1.0	0.02158396691083908
115	0.02782981000802783	1.0	0.021603884175419807
