feature	fscore
hic_contact	12921.310546875
distance	6699.79638671875
diff.from.max.contact.from.enhancer	6231.5517578125
zscore.contact.from.enhancer	4385.380859375
normalized_h3K27ac_e	3602.40380859375
TF_NMF1_e	2460.73046875
TF_NMF1_TSS	2400.1435546875
TargetGeneExpression	2198.87060546875
diff.from.max.contact.to.TSS	2108.5478515625
Enhancer.count.near.TSS	1756.208984375
zscore.contact.to.TSS	1577.1407470703125
TSS.count.near.enhancer	1417.8270263671875
TF_NMF10_TSS	1373.68798828125
H3K27ac.RPKM.quantile_TSS	1015.2557373046875
remaining.enhancers.contact.to.TSS	997.0016479492188
C11orf30_TSS	987.7015380859375
remaining.TSS.contact.from.enhancer	970.4706420898438
TF_NMF10_e	908.84619140625
TF_NMF6_TSS	787.5164184570312
H3K4me3.RPKM.quantile_TSS	652.4312133789062
TF_NMF3_TSS	582.7015380859375
TF_NMF11_TSS	555.2316284179688
TF_NMF4_TSS	553.9039306640625
TF_NMF12_TSS	545.5533447265625
TF_NMF7_TSS	517.5009765625
TF_NMF7_e	507.5794372558594
STAT2_e	503.67694091796875
TF_NMF4_e	495.5284729003906
TF_NMF8_TSS	480.1551208496094
TF_NMF11_e	474.4355163574219
STAT1_e	458.37530517578125
TF_NMF3_e	437.146728515625
TF_NMF5_e	419.99676513671875
MLLT1_TSS	408.6492004394531
normalized_dhs	403.2840576171875
normalized_h3K4me3_e	389.17474365234375
THAP1_TSS	388.9985656738281
TF_NMF8_e	356.6278076171875
TF_NMF2_e	346.8356628417969
HCFC1_TSS	335.3465270996094
TF_NMF9_e	330.6175537109375
TF_NMF5_TSS	308.4025573730469
ZNF24_TSS	302.56890869140625
FOXM1_e	300.7820129394531
TF_NMF6_e	299.0255432128906
TF_NMF2_TSS	285.3273010253906
GATAD2B_e	265.201904296875
SMAD1_TSS	260.671142578125
H3K27me3.RPKM.quantile_TSS	246.62789916992188
ZBTB40_TSS	243.4598846435547
TF_NMF9_TSS	243.18099975585938
PRDM10_TSS	238.61813354492188
BRD9_e	233.3312530517578
ARID3A_e	227.0184783935547
GATAD2A_e	223.38169860839844
GATA1_e	220.4653778076172
NR3C1_e	217.2381591796875
STAT5A_e	202.6826171875
TCF7L2_TSS	195.12461853027344
IRF1_e	192.09815979003906
NFRKB_TSS	185.828125
NCOR1_e	168.0013427734375
HDAC3_e	165.4641876220703
AFF1_TSS	154.76583862304688
ZNF274_e	152.5048370361328
HDAC6_TSS	148.64527893066406
IRF1_TSS	147.2169952392578
ZBTB7A_TSS	124.80767822265625
GMEB1_e	118.86431884765625
TBL1XR1_TSS	117.9122314453125
SMAD1_e	117.0615234375
PHB2_e	115.23323059082031
NR2F2_TSS	113.52348327636719
ATF3_e	113.16567993164062
IRF2_TSS	108.52986145019531
TEAD4_e	105.03962707519531
PRDM10_e	102.44122314453125
HMBOX1_e	98.93849182128906
MEIS2_TSS	96.84066772460938
RBBP5_TSS	93.53060150146484
YY1_TSS	91.680908203125
GABPA_TSS	91.23722839355469
ZBTB11_TSS	88.12191009521484
TCF12_e	83.99330139160156
KLF16_e	83.38349914550781
SMARCA4_TSS	80.49891662597656
U2AF1_TSS	80.4084701538086
ZNF282_e	78.8699722290039
NCOA1_TSS	77.61986541748047
ELF4_TSS	75.59905242919922
ZNF184_TSS	75.24600982666016
SUZ12_TSS	73.41558837890625
CC2D1A_e	73.00984191894531
E2F7_e	72.3759765625
NR2F1_e	71.68739318847656
XRCC5_TSS	65.37454223632812
RUNX1_TSS	61.976192474365234
MEIS2_e	57.57792282104492
CHAMP1_e	56.28154754638672
L3MBTL2_TSS	54.38758850097656
SIX5_TSS	52.96458435058594
POLR2A_e	50.34919738769531
CEBPB_TSS	49.08506774902344
ASH1L_TSS	43.27396011352539
TAF9B_e	40.35194396972656
SAFB_e	37.3455810546875
NRF1_e	36.73200225830078
NBN_e	35.17485046386719
ZBTB2_e	34.52336883544922
ZBTB5_e	33.179725646972656
NCOA2_e	29.065414428710938
UBTF_TSS	24.070648193359375
GATA2_e	22.948230743408203
ELK1_TSS	20.707595825195312
ZBTB7A_e	20.636512756347656
ESRRA_TSS	20.3023681640625
