	precision	recall	thresholds
0	0.017820704666031834	1.0	0.048422783613204956
1	0.01782312925170068	1.0	0.048731062561273575
2	0.017825554497210506	1.0	0.04901754483580589
3	0.017827980402830703	1.0	0.0490836426615715
4	0.017830406968830814	1.0	0.0490931011736393
5	0.017832834195480533	1.0	0.04909459128975868
6	0.017835262083049693	1.0	0.04909870773553848
7	0.01783769063180828	1.0	0.04945555701851845
8	0.01784011984202642	1.0	0.049463335424661636
9	0.017844980247922627	1.0	0.04953324794769287
10	0.01784741144414169	1.0	0.049537405371665955
11	0.0178498433029023	1.0	0.04956596717238426
12	0.017852275824475333	1.0	0.04970366135239601
13	0.017857142857142856	1.0	0.04973650723695755
14	0.017859577368779824	1.0	0.049804624170064926
15	0.017862012544314153	1.0	0.049807630479335785
16	0.017866884888161485	1.0	0.04987664520740509
17	0.017869322057018144	1.0	0.049884501844644547
18	0.01787175989085948	1.0	0.04988832026720047
19	0.017876637554585153	1.0	0.049936190247535706
20	0.01787907738501433	1.0	0.049945805221796036
21	0.017881517881517883	1.0	0.04996854066848755
22	0.0178839590443686	1.0	0.04997427761554718
23	0.01788640087383943	1.0	0.049982957541942596
24	0.01788884337020347	1.0	0.04998793080449104
25	0.017891286533733952	1.0	0.050024230033159256
26	0.017901065864990434	1.0	0.05004055052995682
27	0.01790351236845702	1.0	0.05006575956940651
28	0.017905959540732642	1.0	0.050069209188222885
29	0.017908407382091592	1.0	0.05011582374572754
30	0.017910855892808313	1.0	0.050132691860198975
31	0.01791330507315739	1.0	0.05013300105929375
32	0.017915754923413567	1.0	0.0502256415784359
33	0.01791820544385173	1.0	0.05025232210755348
34	0.017920656634746922	1.0	0.05027065426111221
35	0.017923108496374334	1.0	0.05027325451374054
36	0.017925561029009305	1.0	0.05030062422156334
37	0.01792801423292733	1.0	0.05032213404774666
38	0.017932922655715264	1.0	0.05034315958619118
39	0.01793537787513691	1.0	0.05034324899315834
40	0.01793783376694509	1.0	0.05037085339426994
41	0.017940290331416052	1.0	0.05038416385650635
42	0.01794274756882619	1.0	0.05040111765265465
43	0.017945205479452053	1.0	0.05041048675775528
44	0.017947664063570352	1.0	0.05041889473795891
45	0.017950123321457935	1.0	0.050425074994564056
46	0.017952583253391805	1.0	0.05043008551001549
47	0.017955043859649123	1.0	0.05043066665530205
48	0.017957505140507198	1.0	0.050435326993465424
49	0.01795996709624349	1.0	0.050442829728126526
50	0.01796242972713561	1.0	0.05045967549085617
51	0.017964893033461327	1.0	0.05046939477324486
52	0.01796735701549856	1.0	0.050489168614149094
53	0.017969821673525378	1.0	0.050524476915597916
54	0.01797228700782	1.0	0.0505252406001091
55	0.017974753018660812	1.0	0.05053824558854103
56	0.017977219706326333	1.0	0.050547126680612564
57	0.017979687071095252	1.0	0.050551507622003555
58	0.017982155113246398	1.0	0.05055201053619385
59	0.01798462383305876	1.0	0.05056173726916313
60	0.01798709323081148	1.0	0.0505656860768795
61	0.017989563306783852	1.0	0.050581030547618866
62	0.01799203406125532	1.0	0.050610437989234924
63	0.017994505494505493	1.0	0.050620678812265396
64	0.017996977606814124	1.0	0.05062568932771683
65	0.017999450398461115	1.0	0.050630833953619
66	0.018001923869726537	1.0	0.0506344772875309
67	0.0180043980208906	1.0	0.05064845085144043
68	0.018006872852233676	1.0	0.05066903308033943
69	0.01801182455657913	1.0	0.050676129758358
70	0.018014301430143015	1.0	0.050679825246334076
71	0.01801677898500894	1.0	0.050681352615356445
72	0.018019257221458047	1.0	0.050689298659563065
73	0.018021736139771632	1.0	0.050712790340185165
74	0.01802421574023115	1.0	0.05075680464506149
75	0.018029176988714563	1.0	0.050765637308359146
76	0.018031658637302134	1.0	0.05077117681503296
77	0.018034140969162997	1.0	0.05077401548624039
78	0.018036623984579375	1.0	0.050789836794137955
79	0.018039107683833655	1.0	0.05079687386751175
80	0.018041592067208373	1.0	0.050812017172575
81	0.018044077134986226	1.0	0.050826530903577805
82	0.018046562887450063	1.0	0.050828780978918076
83	0.01804904932488289	1.0	0.05083372816443443
84	0.018054024255788313	1.0	0.05084085091948509
85	0.018056512749827704	1.0	0.05084341764450073
86	0.018059001929969672	1.0	0.05085082724690437
87	0.018066473589849676	1.0	0.05085180327296257
88	0.01806896551724138	1.0	0.05088062956929207
89	0.01807145813215616	1.0	0.05088432505726814
90	0.018073951434878586	1.0	0.05089300498366356
91	0.01807644542569339	1.0	0.05089917778968811
92	0.018078940104885453	1.0	0.05091702193021774
93	0.01808143547273982	1.0	0.05093264952301979
94	0.01808393152954169	1.0	0.05093414708971977
95	0.018091423836486674	1.0	0.05093793943524361
96	0.018093922651933703	1.0	0.050954390317201614
97	0.018096422157756597	1.0	0.0509607270359993
98	0.018098922354241504	1.0	0.05096089094877243
99	0.01810392482034273	1.0	0.05096655339002609
100	0.018106427090532135	1.0	0.05096901208162308
101	0.018108930052529722	1.0	0.050985343754291534
102	0.018111433706622423	1.0	0.051005832850933075
103	0.018113938053097346	1.0	0.0510065034031868
104	0.018116443092241738	1.0	0.0510096400976181
105	0.018118948824343017	1.0	0.051018115133047104
106	0.018121455249688754	1.0	0.051022592931985855
107	0.018123962368566685	1.0	0.05102767050266266
108	0.018126470181264703	1.0	0.051030781120061874
109	0.018128978688070854	1.0	0.05103295296430588
110	0.018131487889273358	1.0	0.05105171725153923
111	0.018136508376021043	1.0	0.051059696823358536
112	0.01813901966214345	1.0	0.05108248069882393
113	0.018141531643816645	1.0	0.05108726769685745
114	0.01814404432132964	1.0	0.05109052360057831
115	0.018146557694971602	1.0	0.05109395831823349
