feature	fscore
hic_contact	19749.591796875
diff.from.max.contact.from.enhancer	13045.6806640625
distance	5761.96142578125
zscore.contact.from.enhancer	5255.20166015625
TF_NMF1_TSS	4574.701171875
normalized_h3K27ac_e	3702.548583984375
Enhancer.count.near.TSS	3654.376220703125
zscore.contact.to.TSS	3333.362548828125
TargetGeneExpression	3284.281005859375
TF_NMF1_e	3185.3515625
TF_NMF10_TSS	2052.41552734375
H3K27ac.RPKM.quantile_TSS	1943.863037109375
remaining.TSS.contact.from.enhancer	1902.1068115234375
TSS.count.near.enhancer	1866.02587890625
diff.from.max.contact.to.TSS	1324.131103515625
TF_NMF5_TSS	1297.29443359375
TF_NMF7_e	1194.9849853515625
remaining.enhancers.contact.to.TSS	1093.197265625
normalized_dhs	822.1416015625
STAT1_e	815.3131713867188
XRCC3_TSS	704.9132690429688
HDAC6_TSS	662.5426025390625
SMAD1_TSS	624.9302368164062
TF_NMF6_TSS	612.2128295898438
TF_NMF4_e	606.4476318359375
E2F8_TSS	582.549560546875
TF_NMF10_e	580.584716796875
RBBP5_TSS	543.1290893554688
TF_NMF8_TSS	526.689208984375
TF_NMF9_e	480.0170593261719
TF_NMF11_TSS	453.97857666015625
TF_NMF3_TSS	449.3008117675781
STAT2_e	446.9667663574219
TF_NMF5_e	445.0643005371094
TF_NMF4_TSS	429.559814453125
TF_NMF6_e	423.50543212890625
H3K4me3.RPKM.quantile_TSS	403.7564697265625
E2F7_e	400.12713623046875
TF_NMF3_e	376.2789001464844
HCFC1_TSS	366.98089599609375
NFRKB_TSS	354.6722717285156
AFF1_TSS	346.8600158691406
KLF16_e	336.4339599609375
GATAD2B_e	332.476806640625
ZNF24_TSS	324.40869140625
MLLT1_TSS	318.46881103515625
normalized_h3K4me3_e	315.7101135253906
POLR2A_e	303.01934814453125
SIN3B_TSS	302.02880859375
ZNF274_e	289.652099609375
CHAMP1_e	287.5367431640625
ELK1_TSS	275.73193359375
NCOR1_e	265.12158203125
FOXM1_e	252.75706481933594
TF_NMF9_TSS	244.93008422851562
TF_NMF7_TSS	232.09536743164062
ZBTB7A_TSS	229.23646545410156
STAT5A_e	221.94473266601562
TF_NMF2_TSS	194.40203857421875
TF_NMF12_TSS	185.2891845703125
GATA1_e	168.8207550048828
NR3C1_e	167.4524688720703
THAP1_TSS	156.80897521972656
TF_NMF11_e	147.51455688476562
ZBTB11_TSS	141.2210693359375
UBTF_TSS	140.99758911132812
TAF15_TSS	139.07769775390625
H3K27me3.RPKM.quantile_TSS	138.2853240966797
TBP_TSS	137.70068359375
IRF1_e	132.88497924804688
CBX5_TSS	132.4976043701172
NBN_e	131.94854736328125
GATA2_e	128.63198852539062
XRCC5_TSS	128.1763916015625
C11orf30_TSS	127.53292083740234
GATAD2A_e	122.33580780029297
SMAD1_e	121.8543701171875
TF_NMF2_e	117.62479400634766
NFXL1_TSS	116.0721435546875
E2F6_TSS	109.82688903808594
SNRNP70_TSS	108.84149169921875
ESRRA_TSS	106.36431884765625
TF_NMF8_e	99.09298706054688
MEIS2_TSS	91.28675079345703
TCF12_e	90.65999603271484
BHLHE40_e	85.3193588256836
PRDM10_TSS	82.89476013183594
TEAD4_e	80.29487609863281
NCOA2_e	61.01117706298828
GMEB1_e	60.613441467285156
ZBTB7A_e	60.43684387207031
TAF7_TSS	60.1209716796875
SP1_TSS	56.85309982299805
PML_e	47.75551223754883
JUNB_TSS	46.46835708618164
MEIS2_e	46.1435546875
JUN_e	42.936702728271484
ATF3_e	41.470726013183594
MTA3_TSS	37.376495361328125
NR2F2_TSS	37.142333984375
ZBTB2_e	34.50859451293945
MYC_e	34.317195892333984
NFRKB_e	27.288097381591797
RBM22_TSS	27.146501541137695
ZNF282_e	21.77387237548828
L3MBTL2_TSS	21.56640625
ELF4_TSS	16.852333068847656
HDAC3_e	14.086769104003906
