	precision	recall	threshold
0	0.07191011235955057	1.0	0.014542261138558388
1	0.0719910011248594	1.0	0.015910817310214043
2	0.07207207207207207	1.0	0.016611123457551003
3	0.07215332581736189	1.0	0.01748315431177616
4	0.07223476297968397	1.0	0.018223104998469353
5	0.07231638418079096	1.0	0.01829882711172104
6	0.07239819004524888	1.0	0.018742671236395836
7	0.072480181200453	1.0	0.021711168810725212
8	0.07256235827664399	1.0	0.02181561477482319
9	0.07264472190692395	1.0	0.024483628571033478
10	0.07272727272727272	1.0	0.024518536403775215
11	0.07281001137656427	1.0	0.025006789714097977
12	0.07289293849658314	1.0	0.025624746456742287
13	0.07297605473204105	1.0	0.02611137181520462
14	0.0730593607305936	1.0	0.026121681556105614
15	0.07314285714285715	1.0	0.026584316045045853
16	0.07322654462242563	1.0	0.027277672663331032
17	0.07331042382588775	1.0	0.02791193127632141
18	0.07339449541284404	1.0	0.029026668518781662
19	0.07347876004592423	1.0	0.029113592579960823
20	0.0735632183908046	1.0	0.029885506257414818
21	0.07364787111622555	1.0	0.030072737485170364
22	0.07373271889400922	1.0	0.03024977445602417
23	0.07381776239907728	1.0	0.030589671805500984
24	0.07390300230946882	1.0	0.031019382178783417
25	0.07398843930635839	1.0	0.03134732320904732
26	0.07407407407407407	1.0	0.03140683472156525
27	0.07415990730011587	1.0	0.0314069427549839
28	0.07424593967517401	1.0	0.031422778964042664
29	0.0743321718931475	1.0	0.03146224841475487
30	0.07441860465116279	1.0	0.03149082884192467
31	0.07450523864959255	1.0	0.03153882548213005
32	0.07459207459207459	1.0	0.031868305057287216
33	0.07467911318553092	1.0	0.032120734453201294
34	0.07485380116959064	1.0	0.03232899308204651
35	0.07494145199063232	1.0	0.03244774416089058
36	0.07502930832356389	1.0	0.03252851590514183
37	0.07511737089201878	1.0	0.032663505524396896
38	0.07520564042303172	1.0	0.032973092049360275
39	0.07529411764705882	1.0	0.03297361359000206
40	0.07538280329799764	1.0	0.03311747685074806
41	0.07547169811320754	1.0	0.03331025317311287
42	0.0755608028335301	1.0	0.03332133963704109
43	0.07565011820330969	1.0	0.033423881977796555
44	0.0757396449704142	1.0	0.03381991386413574
45	0.07582938388625593	1.0	0.03386317938566208
46	0.07591933570581258	1.0	0.033949222415685654
47	0.07600950118764846	1.0	0.03402964025735855
48	0.07609988109393578	1.0	0.03404736518859863
49	0.0761904761904762	1.0	0.03407029062509537
50	0.07628128724672228	1.0	0.03429735079407692
51	0.07637231503579953	1.0	0.03436575457453728
52	0.07646356033452807	1.0	0.03446296229958534
53	0.07655502392344497	1.0	0.034509629011154175
54	0.07664670658682635	1.0	0.03466775640845299
55	0.07673860911270983	1.0	0.03473467379808426
56	0.07683073229291716	1.0	0.03481447696685791
57	0.07692307692307693	1.0	0.034885406494140625
58	0.07701564380264742	1.0	0.03505105525255203
59	0.07710843373493977	1.0	0.035405226051807404
60	0.07720144752714113	1.0	0.03559642657637596
61	0.07729468599033816	1.0	0.03568416088819504
62	0.0773881499395405	1.0	0.03581136465072632
63	0.0774818401937046	1.0	0.03602103143930435
64	0.07757575757575758	1.0	0.036290064454078674
65	0.07766990291262135	1.0	0.03629830479621887
66	0.07776427703523693	1.0	0.036370228976011276
67	0.07785888077858881	1.0	0.03641156479716301
68	0.0779537149817296	1.0	0.03646603599190712
69	0.07804878048780488	1.0	0.0365002304315567
70	0.07814407814407814	1.0	0.037117667496204376
71	0.07823960880195599	1.0	0.03721248731017113
72	0.07833537331701346	1.0	0.03747335448861122
73	0.0784313725490196	1.0	0.03780974820256233
74	0.0785276073619632	1.0	0.03784952685236931
75	0.07862407862407862	1.0	0.03796033188700676
76	0.07872078720787208	1.0	0.038081370294094086
77	0.07881773399014778	1.0	0.038204655051231384
78	0.07891491985203453	1.0	0.038256384432315826
79	0.07901234567901234	1.0	0.03851177170872688
80	0.07911001236093942	1.0	0.03852709382772446
81	0.07920792079207921	1.0	0.03860195726156235
82	0.07930607187112763	1.0	0.03865884616971016
83	0.0794044665012407	1.0	0.038847651332616806
84	0.07950310559006211	1.0	0.03886910155415535
85	0.07960199004975124	1.0	0.038883861154317856
86	0.07970112079701121	1.0	0.039056237787008286
87	0.0798004987531172	1.0	0.03907100483775139
88	0.07990012484394507	1.0	0.03942602872848511
89	0.08	1.0	0.039576686918735504
90	0.08010012515644556	1.0	0.039587344974279404
91	0.08020050125313283	1.0	0.039716046303510666
92	0.08030112923462986	1.0	0.0397820882499218
93	0.08040201005025126	1.0	0.039805617183446884
94	0.08050314465408805	1.0	0.040346335619688034
95	0.08060453400503778	1.0	0.040657274425029755
96	0.0807061790668348	1.0	0.04066509008407593
97	0.08080808080808081	1.0	0.040687769651412964
98	0.08091024020227561	1.0	0.04080219939351082
99	0.0810126582278481	1.0	0.04080581292510033
100	0.08111533586818757	1.0	0.04081471636891365
101	0.08121827411167512	1.0	0.04092254489660263
102	0.08132147395171538	1.0	0.040947481989860535
103	0.08142493638676845	1.0	0.04096950963139534
104	0.08152866242038216	1.0	0.04117856174707413
105	0.08163265306122448	1.0	0.0412384532392025
106	0.08173690932311622	1.0	0.04143736883997917
107	0.08184143222506395	1.0	0.041630685329437256
108	0.08194622279129321	1.0	0.04178227111697197
109	0.08205128205128205	1.0	0.041796695441007614
110	0.0821566110397946	1.0	0.04203739017248154
111	0.08226221079691516	1.0	0.04205980524420738
112	0.08236808236808237	1.0	0.0420830063521862
113	0.08247422680412371	1.0	0.042108166962862015
114	0.08258064516129032	1.0	0.04225606098771095
115	0.082687338501292	1.0	0.04241613671183586
